Designator,Mid X,Mid Y,Rotation,Layer
BT1,159.7775,-126.65375,180.0,bottom
BTN1,141.8955,-86.196,15.0,top
BTN2,153.543,-84.836,0.0,top
BTN3,165.3555,-86.196,345.0,top
C1,151.23875,-98.26,270.0,top
C2,153.53,-98.26,270.0,top
C3,155.82125,-98.26,270.0,top
C4,166.624,-116.586,270.0,top
C5,170.688,-116.586,270.0,top
D1,135.636,-120.777,180.0,top
D2,135.636,-122.936,180.0,top
ESP1,153.4925,-124.72,180.0,top
LDO1,140.716,-122.301,90.0,top
LED1,140.06,-77.5,15.0,top
LED2,167.208119,-77.528823,345.0,top
LED3,153.6,-76.62,0.0,top
MOSFET1,149.987,-93.726,90.0,top
MOSFET2,157.099,-93.726,90.0,top
NEO1,143.2255,-91.176,15.0,top
NEO2,153.5455,-89.986,0.0,top
NEO3,164.0255,-91.176,345.0,top
R1,144.515,-98.26,270.0,top
R10,155.82125,-102.32,270.0,top
R11,158.0825,-102.32,270.0,top
R12,158.0825,-98.26,270.0,top
R13,160.31375,-98.26,270.0,top
R14,162.545,-98.26,270.0,top
R15,153.53,-102.32,90.0,top
R16,160.29125,-102.32,90.0,top
R17,162.545,-102.32,90.0,top
R18,168.656,-116.586,270.0,top
R19,153.543,-94.615,0.0,top
R2,146.76875,-98.24,270.0,top
R3,149.0225,-98.23,270.0,top
R4,141.351,-111.252,90.0,top
R5,141.351,-115.824,270.0,top
R6,144.515,-102.32,90.0,top
R7,146.76875,-102.32,90.0,top
R8,151.23875,-102.32,90.0,top
R9,149.0225,-102.32,270.0,top
SW1,139.58,-100.203,90.0,top
SW2,167.75,-100.203,90.0,top
SW3,136.652,-112.776,270.0,top
TP4056,168.656,-110.363,0.0,top
